"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia","","","","","","","","","","","","","",""
"0","1","5","5","10","6256","","","","","","","","","","","","","",""
"0","1","6","5","10","6367","","","","","","","","","","","","","",""
"0","1","7","5","10","5649","","","","","","","","","","","","","",""
"0","1","8","5","10","6425","","","","","","","","","","","","","",""
"0","1","1","6","10","6598","","","","","","","","","","","","","",""
"0","1","2","6","10","6723","","","","","","","","","","","","","",""
"0","1","3","6","10","5368","","","","","","","","","","","","","",""
"0","1","4","6","10","6612","","","","","","","","","","","","","",""
"0","1","5","6","10","6293","","","","","","","","","","","","","",""
"0","1","6","6","10","6155","","","","","","","","","","","","","",""
"0","1","7","6","10","5639","","","","","","","","","","","","","",""
"0","1","8","6","10","6301","","","","","","","","","","","","","",""
"0","1","1","7","10","6245","","","","","","","","","","","","","",""
"0","1","2","7","10","6466","","","","","","","","","","","","","",""
"0","1","3","7","10","5271","","","","","","","","","","","","","",""
"0","1","4","7","10","6440","","","","","","","","","","","","","",""
"0","1","5","7","10","6275","","","","","","","","","","","","","",""
"0","1","6","7","10","6030","","","","","","","","","","","","","",""
"0","1","7","7","10","5616","","","","","","","","","","","","","",""
"0","1","8","7","10","6444","","","","","","","","","","","","","",""
"0","0","1","1","10","21","","","","","","","","","","","","","",""
"0","0","2","1","10","36","","","","","","","","","","","","","",""
"0","0","3","1","10","55","","","","","","","","","","","","","",""
"0","0","4","1","10","31","","","","","","","","","","","","","",""
"0","0","5","1","10","10","","","","","","","","","","","","","",""
"0","0","6","1","10","16","","","","","","","","","","","","","",""
"0","0","7","1","10","11","","","","","","","","","","","","","",""
"0","0","8","1","10","40","","","","","","","","","","","","","",""
"0","0","1","2","10","40","","","","","","","","","","","","","",""
"0","0","2","2","10","47","","","","","","","","","","","","","",""
"0","0","3","2","10","75","","","","","","","","","","","","","",""
"0","0","4","2","10","70","","","","","","","","","","","","","",""
"0","0","5","2","10","50","","","","","","","","","","","","","",""
"0","0","6","2","10","54","","","","","","","","","","","","","",""
"0","0","7","2","10","49","","","","","","","","","","","","","",""
"0","0","8","2","10","80","","","","","","","","","","","","","",""
"0","0","1","3","10","76","","","","","","","","","","","","","",""
"0","0","2","3","10","81","","","","","","","","","","","","","",""
"0","0","3","3","10","190","","","","","","","","","","","","","",""
"0","0","4","3","10","152","","","","","","","","","","","","","",""
"0","0","5","3","10","83","","","","","","","","","","","","","",""
"0","0","6","3","10","167","","","","","","","","","","","","","",""
"0","0","7","3","10","118","","","","","","","","","","","","","",""
"0","0","8","3","10","153","","","","","","","","","","","","","",""
"0","0","1","4","10","180","","","","","","","","","","","","","",""
"0","0","2","4","10","196","","","","","","","","","","","","","",""
"0","0","3","4","10","375","","","","","","","","","","","","","",""
"0","0","4","4","10","319","","","","","","","","","","","","","",""
"0","0","5","4","10","141","","","","","","","","","","","","","",""
"0","0","6","4","10","317","","","","","","","","","","","","","",""
"0","0","7","4","10","220","","","","","","","","","","","","","",""
"0","0","8","4","10","331","","","","","","","","","","","","","",""
"0","0","1","5","10","333","","","","","","","","","","","","","",""
"0","0","2","5","10","381","","","","","","","","","","","","","",""
"0","0","3","5","10","567","","","","","","","","","","","","","",""
"0","0","4","5","10","442","","","","","","","","","","","","","",""
"0","0","5","5","10","256","","","","","","","","","","","","","",""
"0","0","6","5","10","497","","","","","","","","","","","","","",""
"0","0","7","5","10","340","","","","","","","","","","","","","",""
"0","0","8","5","10","547","","","","","","","","","","","","","",""
"0","0","1","6","10","437","","","","","","","","","","","","","",""
"0","0","2","6","10","555","","","","","","","","","","","","","",""
"0","0","3","6","10","680","","","","","","","","","","","","","",""
"0","0","4","6","10","609","","","","","","","","","","","","","",""
"0","0","5","6","10","380","","","","","","","","","","","","","",""
"0","0","6","6","10","727","","","","","","","","","","","","","",""
"0","0","7","6","10","520","","","","","","","","","","","","","",""
"0","0","8","6","10","751","","","","","","","","","","","","","",""
"0","0","1","7","10","605","","","","","","","","","","","","","",""
"0","0","2","7","10","749","","","","","","","","","","","","","",""
"0","0","3","7","10","874","","","","","","","","","","","","","",""
"0","0","4","7","10","830","","","","","","","","","","","","","",""
"0","0","5","7","10","516","","","","","","","","","","","","","",""
"0","0","6","7","10","892","","","","","","","","","","","","","",""
"0","0","7","7","10","792","","","","","","","","","","","","","",""
"0","0","8","7","10","871","","","","","","","","","","","","","",""
"1","1","1","1","5","3738","","","","","","","","","","","","","",""
"1","1","2","1","5","4913","","","","","","","","","","","","","",""
"1","1","3","1","5","3096","","","","","","","","","","","","","",""
"1","1","4","1","5","5411","","","","","","","","","","","","","",""
"1","1","5","1","5","4011","","","","","","","","","","","","","",""
"1","1","6","1","5","4911","","","","","","","","","","","","","",""
"1","1","7","1","5","3214","","","","","","","","","","","","","",""
"1","1","8","1","5","5846","","","","","","","","","","","","","",""
"1","1","1","2","5","4469","","","","","","","","","","","","","",""
"1","1","2","2","5","5555","","","","","","","","","","","","","",""
"1","1","3","2","5","3616","","","","","","","","","","","","","",""
"1","1","4","2","5","5947","","","","","","","","","","","","","",""
"1","1","5","2","5","4901","","","","","","","","","","","","","",""
"1","1","6","2","5","5871","","","","","","","","","","","","","",""
"1","1","7","2","5","4034","","","","","","","","","","","","","",""
"1","1","8","2","5","6590","","","","","","","","","","","","","",""
"1","1","1","3","5","5853","","","","","","","","","","","","","",""
"1","1","2","3","5","6944","","","","","","","","","","","","","",""
"1","1","3","3","5","4884","","","","","","","","","","","","","",""
"1","1","4","3","5","7168","","","","","","","","","","","","","",""
"1","1","5","3","5","6597","","","","","","","","","","","","","",""
"1","1","6","3","5","7250","","","","","","","","","","","","","",""
"1","1","7","3","5","5550","","","","","","","","","","","","","",""
"1","1","8","3","5","7750","","","","","","","","","","","","","",""
"1","1","1","4","5","6148","","","","","","","","","","","","","",""
"1","1","2","4","5","7000","","","","","","","","","","","","","",""
"1","1","3","4","5","5295","","","","","","","","","","","","","",""
"1","1","4","4","5","7028","","","","","","","","","","","","","",""
"1","1","5","4","5","6667","","","","","","","","","","","","","",""
"1","1","6","4","5","7279","","","","","","","","","","","","","",""
"1","1","7","4","5","6027","","","","","","","","","","","","","",""
